log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
8.519408982882235,0.7636363636363637,0.7450980392156864,0.769893899204244,0.8636363636363636,1,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
5.898052372764625,0.8363636363636363,0.8548387096774194,0.8315054835493519,0.8153846153846154,2,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
8.191739406617534,0.7727272727272727,0.7252747252747254,0.7631048387096774,0.7674418604651163,3,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
5.570382796499923,0.8454545454545455,0.8595041322314049,0.8425066312997348,0.8253968253968254,4,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
5.242713220235222,0.8545454545454545,0.8431372549019608,0.8568082970893275,0.8113207547169812,5,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
5.570382796499923,0.8454545454545455,0.8617886178861789,0.8425894948143191,0.8548387096774194,6,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
5.898052372764625,0.8363636363636363,0.816326530612245,0.8333333333333334,0.8333333333333334,7,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
8.191739406617534,0.7727272727272727,0.7863247863247863,0.771551724137931,0.7796610169491526,8,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
7.605541540822885,0.7889908256880734,0.7964601769911505,0.7898918187964841,0.8181818181818182,9,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
7.274865821656673,0.7981651376146789,0.7884615384615384,0.7998305084745762,0.7592592592592593,10,StandardScaler,,PCA,XGBClassifier,LogisticRegressionCV,0
