log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
9.174748135411638,0.7454545454545455,0.7586206896551724,0.7446949602122016,0.7586206896551724,1,PowerTransformer,,TSNE,LogisticRegression
10.813096016735146,0.7,0.744186046511628,0.6910933865071452,0.6857142857142857,2,PowerTransformer,,TSNE,LogisticRegression
11.796104745529252,0.6727272727272727,0.6538461538461539,0.676747311827957,0.6071428571428571,3,PowerTransformer,,TSNE,LogisticRegression
10.485426440470444,0.7090909090909091,0.746031746031746,0.7032493368700266,0.6911764705882353,4,PowerTransformer,,TSNE,LogisticRegression
9.50241771167634,0.7363636363636363,0.7339449541284403,0.7442288390766143,0.6666666666666666,5,PowerTransformer,,TSNE,LogisticRegression
11.796104745529252,0.6727272727272727,0.7096774193548387,0.6667781866845099,0.6984126984126984,6,PowerTransformer,,TSNE,LogisticRegression
10.485426440470446,0.7090909090909091,0.7142857142857142,0.7166666666666666,0.6451612903225806,7,PowerTransformer,,TSNE,LogisticRegression
10.157756864205743,0.7181818181818181,0.7596899224806202,0.7108753315649867,0.6901408450704225,8,PowerTransformer,,TSNE,LogisticRegression
8.597568698321522,0.7614678899082569,0.7636363636363636,0.7640297498309668,0.8076923076923077,9,PowerTransformer,,TSNE,LogisticRegression
7.936217259989098,0.7798165137614679,0.7894736842105263,0.7889830508474576,0.703125,10,PowerTransformer,,TSNE,LogisticRegression
