log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
7.536400254088131,0.7909090909090909,0.7964601769911505,0.7917771883289125,0.8181818181818182,1,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
8.519408982882236,0.7636363636363637,0.7833333333333333,0.7610501827849784,0.7704918032786885,2,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
8.847078559146937,0.7545454545454545,0.6896551724137931,0.7399193548387097,0.7692307692307693,3,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
6.225721949029326,0.8272727272727273,0.8256880733944953,0.8302387267904509,0.8823529411764706,4,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
5.898052372764625,0.8363636363636363,0.8125,0.8323854131816661,0.8297872340425532,5,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
7.536400254088132,0.7909090909090909,0.7964601769911505,0.7974238875878221,0.8653846153846154,6,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
5.570382796499923,0.8454545454545455,0.8316831683168315,0.845,0.8235294117647058,7,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
8.191739406617534,0.7727272727272727,0.7863247863247863,0.771551724137931,0.7796610169491526,8,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
9.258920136653947,0.7431192660550459,0.7358490566037735,0.7479716024340771,0.8125,9,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
7.2748658216566735,0.7981651376146789,0.7708333333333333,0.793728813559322,0.8043478260869565,10,StandardScaler,,LDA,XGBClassifier,LogisticRegressionCV,0
