log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
9.174748135411638,0.7454545454545455,0.7358490566037735,0.7496684350132626,0.8125,1,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
7.8640698303528325,0.7818181818181819,0.8,0.7793286806247923,0.7868852459016393,2,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
9.17474813541164,0.7454545454545455,0.6956521739130435,0.736559139784946,0.7272727272727273,3,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
6.225721949029326,0.8272727272727273,0.831858407079646,0.8282493368700264,0.8545454545454545,4,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
7.20873067782343,0.8,0.7843137254901962,0.8016058882569421,0.7547169811320755,5,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
6.553391525294027,0.8181818181818182,0.8333333333333333,0.817999330879893,0.847457627118644,6,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
6.225721949029326,0.8272727272727273,0.8080808080808082,0.825,0.8163265306122449,7,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
9.830087287941042,0.7272727272727273,0.7457627118644068,0.7254641909814323,0.7333333333333333,8,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
8.597568698321522,0.7614678899082569,0.75,0.7675794455713321,0.8478260869565217,9,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
7.2748658216566735,0.7981651376146789,0.7843137254901961,0.7983050847457628,0.7692307692307693,10,StandardScaler,,MDS,XGBClassifier,LogisticRegressionCV,0
