log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
5.570382796499923,0.8454545454545455,0.8521739130434782,0.8459878848228364,0.8672566371681416,1,PolynomialFeatures,,PCA,MLPClassifier
7.700235042220482,0.7863636363636364,0.768472906403941,0.7845911949685536,0.8041237113402062,2,PolynomialFeatures,,PCA,MLPClassifier
5.242713220235222,0.8545454545454545,0.8476190476190476,0.8545454545454545,0.89,3,PolynomialFeatures,,PCA,MLPClassifier
6.9124814718854815,0.8082191780821918,0.8,0.8077019359145526,0.8155339805825242,4,PolynomialFeatures,,PCA,MLPClassifier
7.077064364073231,0.8036529680365296,0.7981220657276996,0.8035446205170975,0.8173076923076923,5,PolynomialFeatures,,PCA,MLPClassifier
