log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
10.649261228602795,0.7045454545454546,0.7389558232931727,0.6989876358808397,0.696969696969697,1,MinMaxScaler,,LLE,XGBClassifier
11.6322699573969,0.6772727272727272,0.6728110599078342,0.6776729559748429,0.6576576576576577,2,MinMaxScaler,,LLE,XGBClassifier
13.270617838720405,0.6318181818181818,0.6367713004484306,0.6318181818181818,0.6283185840707964,3,MinMaxScaler,,LLE,XGBClassifier
11.35621956095472,0.684931506849315,0.6986899563318777,0.6863317757009346,0.6557377049180327,4,MinMaxScaler,,LLE,XGBClassifier
10.862470884391472,0.6986301369863014,0.7226890756302521,0.6990408673894913,0.6666666666666666,5,MinMaxScaler,,LLE,XGBClassifier
