log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
7.044895889691079,0.8045454545454546,0.8138528138528138,0.804622023068625,0.8245614035087719,1,MinMaxScaler,,LDA,LGBMClassifier
8.355574194749884,0.7681818181818182,0.7512195121951221,0.7667163190996359,0.7777777777777778,2,MinMaxScaler,,LDA,LGBMClassifier
6.061887160896975,0.8318181818181818,0.8246445497630333,0.8318181818181819,0.8613861386138614,3,MinMaxScaler,,LDA,LGBMClassifier
7.40623014844873,0.7945205479452054,0.7963800904977376,0.7951435246995995,0.7719298245614035,4,MinMaxScaler,,LDA,LGBMClassifier
7.24164725626098,0.7990867579908676,0.7924528301886793,0.7989574645537948,0.8155339805825242,5,MinMaxScaler,,LDA,LGBMClassifier
