log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
7.536400254088132,0.7909090909090909,0.7999999999999999,0.7912206455895776,0.8141592920353983,1,PowerTransformer,,ISOMAP,MLPClassifier
8.519408982882236,0.7636363636363637,0.7592592592592593,0.7639854352863291,0.7454545454545455,2,PowerTransformer,,ISOMAP,MLPClassifier
8.683243771014586,0.759090909090909,0.7644444444444444,0.759090909090909,0.7478260869565218,3,PowerTransformer,,ISOMAP,MLPClassifier
9.710390639077223,0.730593607305936,0.7423580786026202,0.7320176902536717,0.6967213114754098,4,PowerTransformer,,ISOMAP,MLPClassifier
7.57081304063648,0.7899543378995434,0.7850467289719626,0.7898665554628858,0.8,5,PowerTransformer,,ISOMAP,MLPClassifier
