log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
12.451443898058656,0.6545454545454545,0.6481481481481481,0.6574933687002653,0.7,1,PowerTransformer,,ISOMAP,LogisticRegression
10.485426440470444,0.7090909090909091,0.7333333333333334,0.7062146892655368,0.7213114754098361,2,PowerTransformer,,ISOMAP,LogisticRegression
12.451443898058656,0.6545454545454545,0.6041666666666666,0.6488575268817204,0.6041666666666666,3,PowerTransformer,,ISOMAP,LogisticRegression
9.502417711676342,0.7363636363636363,0.752136752136752,0.735079575596817,0.7457627118644068,4,PowerTransformer,,ISOMAP,LogisticRegression
9.50241771167634,0.7363636363636363,0.7184466019417475,0.7382067581130813,0.6851851851851852,5,PowerTransformer,,ISOMAP,LogisticRegression
13.106783050588058,0.6363636363636364,0.6825396825396826,0.6279692204750753,0.6615384615384615,6,PowerTransformer,,ISOMAP,LogisticRegression
12.451443898058653,0.6545454545454545,0.6545454545454547,0.66,0.6,7,PowerTransformer,,ISOMAP,LogisticRegression
10.485426440470444,0.7090909090909091,0.7241379310344829,0.7082228116710875,0.7241379310344828,8,PowerTransformer,,ISOMAP,LogisticRegression
9.920271574986373,0.7247706422018348,0.7413793103448276,0.723630831643002,0.7413793103448276,9,PowerTransformer,,ISOMAP,LogisticRegression
9.920271574986371,0.7247706422018348,0.7169811320754718,0.7274576271186439,0.6785714285714286,10,PowerTransformer,,ISOMAP,LogisticRegression
