log_loss,accuracy_score,f1_score,roc_auc_score,precision_score,CV,transform,features_selection,dim_red,model
18.13545737989627,0.4968474148802018,0.596969696969697,0.49591470008269195,0.49915540540540543,3,SummaryTransformer,,False,WEASEL
18.339992613504123,0.4911727616645649,0.5630752571737954,0.4824561403508772,0.5189620758483033,4,SummaryTransformer,,False,WEASEL
17.749113049748104,0.5075662042875158,0.6275631855030998,0.4901921358355674,0.5234685759745425,5,SummaryTransformer,,False,WEASEL
17.930922146288417,0.5025220680958385,0.6276545540349221,0.4890121444718995,0.5147058823529411,1,SummaryTransformer,,False,TimeSeriesForestClassifier
18.021826694558573,0.5,0.5271317829457365,0.5011691664558986,0.4922048997772829,2,SummaryTransformer,,False,TimeSeriesForestClassifier
17.81729146095072,0.5056746532156369,0.6312323612417685,0.5043938044653649,0.5045112781954887,3,SummaryTransformer,,False,TimeSeriesForestClassifier
19.044502862597838,0.47162673392181587,0.4283765347885403,0.47864631994186646,0.5056360708534622,4,SummaryTransformer,,False,TimeSeriesForestClassifier
17.180959623059625,0.5233291298865069,0.6423841059602649,0.5053731009830206,0.532967032967033,5,SummaryTransformer,,False,TimeSeriesForestClassifier
18.226361928166426,0.4943253467843632,0.5411899313501143,0.49084823313307613,0.5135722041259501,1,SummaryTransformer,,False,Arsenal
17.476399404937634,0.5151324085750315,0.5572826712723086,0.5169743880964539,0.5052192066805845,2,SummaryTransformer,,False,Arsenal
17.11278121185701,0.5252206809583859,0.5493716337522443,0.5250254436740664,0.5245714285714286,3,SummaryTransformer,,False,Arsenal
18.18090965403135,0.49558638083228246,0.5407577497129736,0.4912488321395204,0.5250836120401338,4,SummaryTransformer,,False,Arsenal
18.090005105761193,0.49810844892812106,0.5244922341696535,0.4965642154985318,0.526378896882494,5,SummaryTransformer,,False,Arsenal
18.88541990312506,0.4760403530895334,0.4241164241164241,0.48078997216792285,0.4967532467532468,1,SummaryTransformer,,False,RotationForest
18.249088065233966,0.4936948297604035,0.5040148239654108,0.4942162051242896,0.4857142857142857,2,SummaryTransformer,,False,RotationForest
18.249088065233966,0.4936948297604035,0.43569922698524244,0.4940907066980472,0.4944178628389155,3,SummaryTransformer,,False,RotationForest
18.044552831626113,0.49936948297604034,0.5323910482921084,0.4968753244056888,0.52989449003517,4,SummaryTransformer,,False,RotationForest
18.226361928166426,0.4943253467843632,0.32943143812709036,0.5106935401506447,0.5533707865168539,5,SummaryTransformer,,False,RotationForest
