log_loss,accuracy_score,f1_score,roc_auc_score,precision_score,CV,transform,features_selection,dim_red,model
17.24913803426224,0.521437578814628,0.6760563380281691,0.5018958312423429,0.5224274406332454,1,SummaryTransformer,,False,CNNClassifier
17.930922146288417,0.5025220680958385,0.6307908282639214,0.5088140834450802,0.4963181148748159,2,SummaryTransformer,,False,CNNClassifier
17.680934638545487,0.5094577553593947,0.6617391304347826,0.5077619108199224,0.5059840425531915,3,SummaryTransformer,,False,CNNClassifier
17.749113049748104,0.5075662042875158,0.5843533794571582,0.497591612166511,0.5309477756286267,4,SummaryTransformer,,False,CNNClassifier
16.84006756704654,0.5327868852459017,0.6473108043788671,0.5153517170943445,0.5392545598731165,5,SummaryTransformer,,False,CNNClassifier
18.635432395382132,0.48297604035308955,0.4633507853403141,0.48543635184716094,0.5049928673323824,1,SummaryTransformer,,False,FCNClassifier
18.70361080658475,0.4810844892812106,0.4150675195451315,0.47924133027282134,0.46496815286624205,2,SummaryTransformer,,False,FCNClassifier
17.953648283355957,0.501891551071879,0.6683459277917717,0.5,0.501891551071879,3,SummaryTransformer,,False,FCNClassifier
17.976374420423497,0.5012610340479193,0.610152784622967,0.4850306238970207,0.5228040540540541,4,SummaryTransformer,,False,FCNClassifier
16.953698252384232,0.5296343001261034,0.6924979389942292,0.5,0.5296343001261034,5,SummaryTransformer,,False,FCNClassifier
18.339992613504123,0.4911727616645649,0.4927718416090509,0.49194192065229336,0.5130890052356021,1,SummaryTransformer,,False,KNeighborsTimeSeriesClassifier
17.84001759801826,0.5050441361916772,0.5352279455298994,0.5063484943203962,0.4967032967032967,2,SummaryTransformer,,False,KNeighborsTimeSeriesClassifier
17.771839186815644,0.5069356872635561,0.5272067714631198,0.5067807391387317,0.5081585081585082,3,SummaryTransformer,,False,KNeighborsTimeSeriesClassifier
17.612756227342867,0.5113493064312736,0.5110410094637223,0.5135990864735804,0.5472972972972973,4,SummaryTransformer,,False,KNeighborsTimeSeriesClassifier
17.612756227342867,0.5113493064312736,0.5443856554967667,0.5088392059236564,0.537746806039489,5,SummaryTransformer,,False,KNeighborsTimeSeriesClassifier
18.294540339369046,0.49243379571248425,0.527859237536657,0.49011778050735,0.5125284738041003,1,SummaryTransformer,,False,RocketClassifier
18.15818351696381,0.4962168978562421,0.530827950675279,0.49767439270949154,0.48917748917748916,2,SummaryTransformer,,False,RocketClassifier
18.044552831626113,0.49936948297604034,0.5122850122850123,0.49927644551873296,0.5012019230769231,3,SummaryTransformer,,False,RocketClassifier
18.612706258314592,0.48360655737704916,0.4890829694323144,0.4849890999688571,0.5171503957783641,4,SummaryTransformer,,False,RocketClassifier
17.430947130802554,0.5163934426229508,0.5308868501529053,0.5163762287756926,0.5459119496855346,5,SummaryTransformer,,False,RocketClassifier
17.24913803426224,0.521437578814628,0.6854537919602156,0.5,0.521437578814628,1,SummaryTransformer,,False,TimeSeriesSVC
18.339992613504123,0.4911727616645649,0.6587737843551796,0.5,0.4911727616645649,2,SummaryTransformer,,False,TimeSeriesSVC
17.953648283355957,0.501891551071879,0.6683459277917717,0.5,0.501891551071879,3,SummaryTransformer,,False,TimeSeriesSVC
16.84006756704654,0.5327868852459017,0.6951871657754011,0.5,0.5327868852459017,4,SummaryTransformer,,False,TimeSeriesSVC
16.953698252384232,0.5296343001261034,0.6924979389942292,0.5,0.5296343001261034,5,SummaryTransformer,,False,TimeSeriesSVC
timed_out,timed_out,timed_out,timed_out,timed_out,1,SummaryTransformer,,False,ShapeletTransformClassifier
timed_out,timed_out,timed_out,timed_out,timed_out,2,SummaryTransformer,,False,ShapeletTransformClassifier
timed_out,timed_out,timed_out,timed_out,timed_out,3,SummaryTransformer,,False,ShapeletTransformClassifier
timed_out,timed_out,timed_out,timed_out,timed_out,4,SummaryTransformer,,False,ShapeletTransformClassifier
timed_out,timed_out,timed_out,timed_out,timed_out,5,SummaryTransformer,,False,ShapeletTransformClassifier
17.749113049748104,0.5075662042875158,0.6021395822720325,0.4982905656108958,0.5202464788732394,1,SummaryTransformer,,False,BOSSEnsemble
18.15818351696381,0.4962168978562421,0.5538805136795086,0.4986542655487209,0.4901185770750988,2,SummaryTransformer,,False,BOSSEnsemble
18.067278968693653,0.4987389659520807,0.5485519591141397,0.49832866865975445,0.5005181347150259,3,SummaryTransformer,,False,BOSSEnsemble
16.976424389451772,0.5290037831021438,0.5942422596414991,0.5206996781895568,0.5491967871485943,4,SummaryTransformer,,False,BOSSEnsemble
17.680934638545487,0.5094577553593947,0.5926701570680629,0.49910315332567345,0.5289719626168224,5,SummaryTransformer,,False,BOSSEnsemble
19.044502862597838,0.47162673392181587,0.49760191846522783,0.47027448131491034,0.4934601664684899,1,SummaryTransformer,,False,IndividualBOSS
18.11273124282873,0.4974779319041614,0.4996861268047709,0.4977109788706966,0.48894348894348894,2,SummaryTransformer,,False,IndividualBOSS
17.84001759801826,0.5050441361916772,0.5245305875227134,0.5048963170281789,0.5064327485380117,3,SummaryTransformer,,False,IndividualBOSS
18.090005105761193,0.49810844892812106,0.5116564417177913,0.4984324717118239,0.5312101910828025,4,SummaryTransformer,,False,IndividualBOSS
17.680934638545487,0.5094577553593947,0.579913606911447,0.5012782458828036,0.5306324110671937,5,SummaryTransformer,,False,IndividualBOSS
18.203635791098886,0.49495586380832285,0.62830626450116,0.4804570068488895,0.509789156626506,1,SummaryTransformer,,False,WEASEL
18.45362329884182,0.4880201765447667,0.558695652173913,0.49100059969490323,0.48444863336475025,2,SummaryTransformer,,False,WEASEL
