log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
13.106783050588055,0.6363636363636364,0.7368421052631579,0.6173740053050398,0.5957446808510638,1,PowerTransformer,,LLE,LogisticRegression
13.106783050588056,0.6363636363636364,0.7297297297297298,0.614489863742107,0.6067415730337079,2,PowerTransformer,,LLE,LogisticRegression
17.038817965764473,0.5272727272727272,0.6176470588235294,0.5665322580645161,0.4772727272727273,3,PowerTransformer,,LLE,LogisticRegression
12.451443898058653,0.6545454545454545,0.7285714285714285,0.64157824933687,0.6219512195121951,4,PowerTransformer,,LLE,LogisticRegression
14.74513093191156,0.5909090909090909,0.6762589928057555,0.6271328203412512,0.5222222222222223,5,PowerTransformer,,LLE,LogisticRegression
12.123774321793952,0.6636363636363637,0.7086614173228346,0.6545667447306791,0.6818181818181818,6,PowerTransformer,,LLE,LogisticRegression
14.41746135564686,0.6,0.6716417910447762,0.625,0.5357142857142857,7,PowerTransformer,,LLE,LogisticRegression
16.05580923697037,0.5545454545454546,0.6797385620915034,0.5348143236074271,0.5473684210526316,8,PowerTransformer,,LLE,LogisticRegression
12.56567732831607,0.6513761467889908,0.7432432432432432,0.631000676132522,0.6111111111111112,9,PowerTransformer,,LLE,LogisticRegression
15.21108308164577,0.5779816513761468,0.6714285714285715,0.6055932203389831,0.5222222222222223,10,PowerTransformer,,LLE,LogisticRegression
