log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
11.304600381132197,0.6863636363636364,0.7206477732793521,0.681312754128288,0.6846153846153846,1,PolynomialFeatures,,LLE,CatBoostClassifier
11.6322699573969,0.6772727272727272,0.7078189300411523,0.6819761668321748,0.6277372262773723,2,PolynomialFeatures,,LLE,CatBoostClassifier
12.451443898058654,0.6545454545454545,0.6752136752136751,0.6545454545454545,0.6370967741935484,3,PolynomialFeatures,,LLE,CatBoostClassifier
13.002048482832215,0.639269406392694,0.6721991701244814,0.6418975300400533,0.6044776119402985,4,PolynomialFeatures,,LLE,CatBoostClassifier
11.68538534533022,0.6757990867579908,0.6899563318777292,0.676021684737281,0.6583333333333333,5,PolynomialFeatures,,LLE,CatBoostClassifier
