log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
7.536400254088131,0.7909090909090909,0.8,0.7907824933687002,0.8070175438596491,1,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
7.208730677823431,0.8,0.8166666666666667,0.7976071784646062,0.8032786885245902,2,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
8.519408982882236,0.7636363636363637,0.723404255319149,0.7573924731182796,0.7391304347826086,3,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
8.191739406617534,0.7727272727272727,0.7863247863247863,0.771551724137931,0.7796610169491526,4,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
7.536400254088131,0.7909090909090909,0.7766990291262137,0.7934091669454667,0.7407407407407407,5,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
7.20873067782343,0.8,0.810344827586207,0.8036132485781198,0.8545454545454545,6,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
7.536400254088132,0.7909090909090909,0.7578947368421052,0.785,0.8,7,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
9.174748135411638,0.7454545454545455,0.75,0.7466843501326259,0.7777777777777778,8,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
6.94419010249046,0.8073394495412844,0.8037383177570093,0.8118661257606491,0.8775510204081632,9,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
7.936217259989097,0.7798165137614679,0.7647058823529411,0.7798305084745764,0.75,10,StandardScaler,,SE,XGBClassifier,LogisticRegressionCV,0
