log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.389556737161677,0.8227272727272728,0.8266666666666667,0.8246203634553149,0.8611111111111112,1,PolynomialFeatures,,ISOMAP,SVC
8.519408982882236,0.7636363636363637,0.74,0.761337305527971,0.7872340425531915,2,PolynomialFeatures,,ISOMAP,SVC
7.700235042220482,0.7863636363636364,0.7911111111111111,0.7863636363636364,0.7739130434782608,3,PolynomialFeatures,,ISOMAP,SVC
8.393727501575226,0.7671232876712328,0.7733333333333334,0.7681491989319092,0.7372881355932204,4,PolynomialFeatures,,ISOMAP,SVC
8.722893285950727,0.7579908675799086,0.7623318385650225,0.7580900750625521,0.7456140350877193,5,PolynomialFeatures,,ISOMAP,SVC
