log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
10.485426440470446,0.7090909090909091,0.728813559322034,0.7072281167108754,0.7166666666666667,1,PolynomialFeatures,,UMAP,LogisticRegression
9.50241771167634,0.7363636363636363,0.7751937984496123,0.7276503821867731,0.7142857142857143,2,PolynomialFeatures,,UMAP,LogisticRegression
12.779113474323355,0.6454545454545455,0.6285714285714286,0.6502016129032258,0.5789473684210527,3,PolynomialFeatures,,UMAP,LogisticRegression
10.813096016735146,0.7,0.736,0.6946286472148541,0.6865671641791045,4,PolynomialFeatures,,UMAP,LogisticRegression
11.140765592999847,0.6909090909090909,0.7213114754098361,0.7112746738039478,0.6027397260273972,5,PolynomialFeatures,,UMAP,LogisticRegression
13.762122203117459,0.6181818181818182,0.671875,0.6075610572097692,0.6417910447761194,6,PolynomialFeatures,,UMAP,LogisticRegression
11.140765592999847,0.6909090909090909,0.7213114754098361,0.7066666666666667,0.6111111111111112,7,PolynomialFeatures,,UMAP,LogisticRegression
13.762122203117457,0.6181818181818182,0.676923076923077,0.6100795755968169,0.6111111111111112,8,PolynomialFeatures,,UMAP,LogisticRegression
12.235001609149862,0.6605504587155964,0.6605504587155964,0.663286004056795,0.7058823529411765,9,PolynomialFeatures,,UMAP,LogisticRegression
11.904325889983646,0.6697247706422018,0.7000000000000001,0.6827118644067796,0.6,10,PolynomialFeatures,,UMAP,LogisticRegression
