log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
7.536400254088132,0.7909090909090909,0.7889908256880734,0.7937665782493368,0.8431372549019608,1,RobustScaler,,MDS,LogisticRegression
7.8640698303528325,0.7818181818181819,0.7894736842105264,0.7833167165171153,0.8181818181818182,2,RobustScaler,,MDS,LogisticRegression
11.468435169264552,0.6818181818181818,0.6236559139784946,0.6730510752688172,0.6444444444444445,3,RobustScaler,,MDS,LogisticRegression
7.8640698303528325,0.7818181818181819,0.7931034482758621,0.7811671087533156,0.7931034482758621,4,RobustScaler,,MDS,LogisticRegression
7.8640698303528325,0.7818181818181819,0.7391304347826086,0.7731682837069254,0.7906976744186046,5,RobustScaler,,MDS,LogisticRegression
9.830087287941044,0.7272727272727273,0.7413793103448276,0.7300100368016059,0.7818181818181819,6,RobustScaler,,MDS,LogisticRegression
9.17474813541164,0.7454545454545455,0.702127659574468,0.7383333333333334,0.75,7,RobustScaler,,MDS,LogisticRegression
11.46843516926455,0.6818181818181818,0.6956521739130435,0.6813660477453581,0.7017543859649122,8,RobustScaler,,MDS,LogisticRegression
8.26689297915531,0.7706422018348624,0.7706422018348623,0.7738336713995942,0.8235294117647058,9,RobustScaler,,MDS,LogisticRegression
7.936217259989098,0.7798165137614679,0.7647058823529411,0.7798305084745764,0.75,10,RobustScaler,,MDS,LogisticRegression
