log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
7.20873067782343,0.8,0.8,0.8023872679045092,0.8461538461538461,1,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
4.58737406770582,0.8727272727272727,0.8833333333333333,0.8707211698238618,0.8688524590163934,2,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
8.191739406617534,0.7727272727272727,0.7191011235955055,0.7607526881720429,0.7804878048780488,3,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
4.915043643970521,0.8636363636363636,0.8695652173913043,0.8637267904509284,0.8771929824561403,4,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
5.242713220235221,0.8545454545454545,0.8461538461538463,0.8588156574105053,0.8,5,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
6.881061101558728,0.8090909090909091,0.823529411764706,0.8098026095684175,0.8448275862068966,6,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
5.898052372764625,0.8363636363636363,0.816326530612245,0.8333333333333334,0.8333333333333334,7,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
5.570382796499923,0.8454545454545455,0.8468468468468469,0.8474801061007957,0.8867924528301887,8,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
7.605541540822885,0.7889908256880734,0.7964601769911505,0.7898918187964841,0.8181818181818182,9,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
6.282838664158035,0.8256880733944955,0.8041237113402062,0.8222033898305086,0.8297872340425532,10,StandardScaler,,False,XGBClassifier,LogisticRegressionCV,0
