log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
4.915043643970521,0.8636363636363636,0.8672566371681416,0.8647214854111406,0.8909090909090909,1,StandardScaler,,TSNE,CatBoostClassifier
5.8980523727646235,0.8363636363636363,0.85,0.8341641741442339,0.8360655737704918,2,StandardScaler,,TSNE,CatBoostClassifier
9.502417711676342,0.7363636363636363,0.6813186813186812,0.7261424731182796,0.7209302325581395,3,StandardScaler,,TSNE,CatBoostClassifier
4.259704491441118,0.8818181818181818,0.8869565217391304,0.8819628647214854,0.8947368421052632,4,StandardScaler,,TSNE,CatBoostClassifier
5.242713220235222,0.8545454545454545,0.84,0.8548009367681499,0.8235294117647058,5,StandardScaler,,TSNE,CatBoostClassifier
6.881061101558728,0.8090909090909091,0.8205128205128205,0.8118099698895952,0.8571428571428571,6,StandardScaler,,TSNE,CatBoostClassifier
5.242713220235222,0.8545454545454545,0.8399999999999999,0.8533333333333333,0.84,7,StandardScaler,,TSNE,CatBoostClassifier
7.20873067782343,0.8,0.8035714285714286,0.801392572944297,0.8333333333333334,8,StandardScaler,,TSNE,CatBoostClassifier
7.605541540822886,0.7889908256880734,0.7766990291262136,0.7958079783637593,0.8888888888888888,9,StandardScaler,,TSNE,CatBoostClassifier
8.26689297915531,0.7706422018348624,0.7663551401869159,0.774406779661017,0.7192982456140351,10,StandardScaler,,TSNE,CatBoostClassifier
