log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.881061101558728,0.8090909090909091,0.8108108108108107,0.8110079575596818,0.8490566037735849,1,EqualWidthDiscretiser,,LDA,LogisticRegression
5.570382796499923,0.8454545454545455,0.8547008547008546,0.8452974410103025,0.8620689655172413,2,EqualWidthDiscretiser,,LDA,LogisticRegression
9.502417711676342,0.7363636363636363,0.6588235294117648,0.7190860215053765,0.7567567567567568,3,EqualWidthDiscretiser,,LDA,LogisticRegression
6.881061101558728,0.8090909090909091,0.8173913043478261,0.8090185676392573,0.8245614035087719,4,EqualWidthDiscretiser,,LDA,LogisticRegression
4.259704491441118,0.8818181818181818,0.8686868686868686,0.8813984610237537,0.86,5,EqualWidthDiscretiser,,LDA,LogisticRegression
7.536400254088131,0.7909090909090909,0.7964601769911505,0.7974238875878221,0.8653846153846154,6,EqualWidthDiscretiser,,LDA,LogisticRegression
4.91504364397052,0.8636363636363636,0.8453608247422681,0.86,0.8723404255319149,7,EqualWidthDiscretiser,,LDA,LogisticRegression
7.864069830352833,0.7818181818181819,0.7931034482758621,0.7811671087533156,0.7931034482758621,8,EqualWidthDiscretiser,,LDA,LogisticRegression
8.26689297915531,0.7706422018348624,0.7524752475247525,0.7785665990534144,0.8837209302325582,9,EqualWidthDiscretiser,,LDA,LogisticRegression
6.282838664158035,0.8256880733944955,0.8155339805825242,0.8267796610169491,0.7924528301886793,10,EqualWidthDiscretiser,,LDA,LogisticRegression
