log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.389556737161677,0.8227272727272728,0.823529411764706,0.825782092772384,0.875,1,PolynomialFeatures,,ISOMAP,CatBoostClassifier
6.225721949029326,0.8272727272727273,0.8137254901960785,0.8257199602780537,0.8469387755102041,2,PolynomialFeatures,,ISOMAP,CatBoostClassifier
6.225721949029327,0.8272727272727273,0.820754716981132,0.8272727272727274,0.8529411764705882,3,PolynomialFeatures,,ISOMAP,CatBoostClassifier
6.747898579697731,0.8127853881278538,0.807511737089202,0.8125834445927903,0.8113207547169812,4,PolynomialFeatures,,ISOMAP,CatBoostClassifier
7.735395932824229,0.7853881278538812,0.7813953488372094,0.7853211009174312,0.7924528301886793,5,PolynomialFeatures,,ISOMAP,CatBoostClassifier
