log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
5.406548008367572,0.85,0.8546255506607929,0.8514231184134098,0.8818181818181818,1,MinMaxScaler,,PCA,MLPClassifier
6.881061101558729,0.8090909090909091,0.7920792079207922,0.8071830519695465,0.8333333333333334,2,MinMaxScaler,,PCA,MLPClassifier
5.570382796499925,0.8454545454545455,0.8396226415094339,0.8454545454545455,0.8725490196078431,3,MinMaxScaler,,PCA,MLPClassifier
6.583315687509982,0.817351598173516,0.8058252427184466,0.8164218958611482,0.8383838383838383,4,MinMaxScaler,,PCA,MLPClassifier
7.077064364073231,0.8036529680365296,0.7981220657276996,0.8035446205170975,0.8173076923076923,5,MinMaxScaler,,PCA,MLPClassifier
