log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
12.123774321793954,0.6636363636363637,0.6476190476190475,0.6681034482758621,0.723404255319149,1,QuantileTransformer,,MDS,LogisticRegression
8.847078559146937,0.7545454545454545,0.7610619469026549,0.756563642406115,0.7962962962962963,2,QuantileTransformer,,MDS,LogisticRegression
11.796104745529256,0.6727272727272727,0.6170212765957447,0.6649865591397849,0.6304347826086957,3,QuantileTransformer,,MDS,LogisticRegression
9.174748135411638,0.7454545454545455,0.7627118644067795,0.7437002652519895,0.75,4,QuantileTransformer,,MDS,LogisticRegression
8.519408982882236,0.7636363636363637,0.723404255319149,0.7567748410839745,0.7555555555555555,5,QuantileTransformer,,MDS,LogisticRegression
10.813096016735148,0.7,0.7317073170731708,0.6953830712612915,0.7258064516129032,6,QuantileTransformer,,MDS,LogisticRegression
10.813096016735145,0.7,0.6857142857142857,0.7016666666666667,0.6545454545454545,7,QuantileTransformer,,MDS,LogisticRegression
10.485426440470444,0.7090909090909091,0.728813559322034,0.7072281167108754,0.7166666666666667,8,QuantileTransformer,,MDS,LogisticRegression
10.250947294152587,0.7155963302752294,0.7102803738317757,0.7197430696416498,0.7755102040816326,9,QuantileTransformer,,MDS,LogisticRegression
10.250947294152587,0.7155963302752294,0.6736842105263158,0.7098305084745763,0.7111111111111111,10,QuantileTransformer,,MDS,LogisticRegression
