log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.225721949029326,0.8272727272727273,0.8347826086956522,0.8272546419098142,0.8421052631578947,1,StandardScaler,,TSNE,XGBClassifier
6.553391525294027,0.8181818181818182,0.8333333333333333,0.8158856763044201,0.819672131147541,2,StandardScaler,,TSNE,XGBClassifier
9.830087287941042,0.7272727272727273,0.6808510638297872,0.7204301075268815,0.6956521739130435,3,StandardScaler,,TSNE,XGBClassifier
4.259704491441118,0.8818181818181818,0.8828828828828829,0.8839522546419099,0.9245283018867925,4,StandardScaler,,TSNE,XGBClassifier
6.881061101558728,0.8090909090909091,0.796116504854369,0.8118099698895952,0.7592592592592593,5,StandardScaler,,TSNE,XGBClassifier
6.225721949029326,0.8272727272727273,0.8403361344537814,0.828203412512546,0.8620689655172413,6,StandardScaler,,TSNE,XGBClassifier
7.208730677823431,0.8,0.7755102040816326,0.7966666666666667,0.7916666666666666,7,StandardScaler,,TSNE,XGBClassifier
6.553391525294027,0.8181818181818182,0.8214285714285715,0.8196286472148541,0.8518518518518519,8,StandardScaler,,TSNE,XGBClassifier
7.2748658216566735,0.7981651376146789,0.7884615384615384,0.8044286680189318,0.8913043478260869,9,StandardScaler,,TSNE,XGBClassifier
6.613514383324248,0.8165137614678899,0.8076923076923077,0.8183050847457626,0.7777777777777778,10,StandardScaler,,TSNE,XGBClassifier
