log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.225721949029326,0.8272727272727273,0.8288288288288289,0.8292440318302388,0.8679245283018868,1,PowerTransformer,,LDA,LogisticRegression
7.864069830352833,0.7818181818181819,0.8032786885245902,0.7779993353273513,0.7777777777777778,2,PowerTransformer,,LDA,LogisticRegression
8.519408982882235,0.7636363636363637,0.7111111111111111,0.7526881720430106,0.7619047619047619,3,PowerTransformer,,LDA,LogisticRegression
6.881061101558729,0.8090909090909091,0.8173913043478261,0.8090185676392573,0.8245614035087719,4,PowerTransformer,,LDA,LogisticRegression
5.570382796499923,0.8454545454545455,0.8316831683168318,0.8466042154566745,0.8076923076923077,5,PowerTransformer,,LDA,LogisticRegression
8.519408982882236,0.7636363636363637,0.7758620689655172,0.7668116426898629,0.8181818181818182,6,PowerTransformer,,LDA,LogisticRegression
7.20873067782343,0.8,0.78,0.7983333333333333,0.78,7,PowerTransformer,,LDA,LogisticRegression
8.519408982882236,0.7636363636363637,0.7833333333333333,0.7609416445623343,0.7580645161290323,8,PowerTransformer,,LDA,LogisticRegression
7.2748658216566735,0.7981651376146789,0.7924528301886793,0.8032454361054766,0.875,9,PowerTransformer,,LDA,LogisticRegression
6.613514383324248,0.8165137614678899,0.803921568627451,0.8167796610169491,0.7884615384615384,10,PowerTransformer,,LDA,LogisticRegression
