<function log_loss at 0x7f1886bbfd90>,<function accuracy_score at 0x7f1886bbe9e0>,<function f1_score at 0x7f1886bbf1c0>,<function roc_auc_score at 0x7f1886bdda20>,<function precision_score at 0x7f1886bbf7f0>,CV,transform,features_selection,dim_red,model
20.19313111558973,0.4397590361445783,0.24390243902439027,0.4873980726464048,0.5357142857142857,1,SummaryTransformer,,False,RotationForest
19.7588702313835,0.45180722891566266,0.4678362573099415,0.45223577235772355,0.449438202247191,2,SummaryTransformer,,False,RotationForest
20.19313111558973,0.4397590361445783,0.5279187817258882,0.4257142857142857,0.49056603773584906,3,SummaryTransformer,,False,RotationForest
18.67321802086792,0.4819277108433735,0.5612244897959183,0.46466457492903035,0.5555555555555556,4,SummaryTransformer,,False,RotationForest
17.587565810352345,0.5120481927710844,0.5888324873096448,0.49764982373678035,0.5523809523809524,5,SummaryTransformer,,False,RotationForest
