<function log_loss at 0x7f8403df7d90>,<function accuracy_score at 0x7f8403df69e0>,<function f1_score at 0x7f8403df71c0>,<function roc_auc_score at 0x7f8403e15a20>,<function precision_score at 0x7f8403df77f0>,CV,transform,features_selection,dim_red,model
18.45608757876481,0.4879518072289157,0.47204968944099385,0.5028169014084507,0.5757575757575758,1,SummaryTransformer,,False,RocketClassifier
16.936174484043,0.5301204819277109,0.5666666666666668,0.5312137049941928,0.5204081632653061,2,SummaryTransformer,,False,RocketClassifier
18.67321802086792,0.4819277108433735,0.4691358024691358,0.48879120879120885,0.5352112676056338,3,SummaryTransformer,,False,RocketClassifier
15.633391831424307,0.5662650602409639,0.6043956043956044,0.5661138502913492,0.6470588235294118,4,SummaryTransformer,,False,RocketClassifier
18.890348462971037,0.4759036144578313,0.5245901639344263,0.4703290246768508,0.5274725274725275,5,SummaryTransformer,,False,RocketClassifier
