log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
6.225721949029326,0.8272727272727273,0.819047619047619,0.8322281167108755,0.9148936170212766,1,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
4.91504364397052,0.8636363636363636,0.8760330578512397,0.8609172482552343,0.8548387096774194,2,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
10.157756864205744,0.7181818181818181,0.6868686868686869,0.7170698924731183,0.6666666666666666,3,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
5.242713220235222,0.8545454545454545,0.8620689655172413,0.8541114058355437,0.8620689655172413,4,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
6.881061101558729,0.8090909090909091,0.7920792079207921,0.8098026095684175,0.7692307692307693,5,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
8.519408982882235,0.7636363636363637,0.7636363636363637,0.7728337236533958,0.8571428571428571,6,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
5.242713220235222,0.8545454545454545,0.8333333333333333,0.8500000000000001,0.8695652173913043,7,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
7.536400254088131,0.7909090909090909,0.7964601769911505,0.7917771883289125,0.8181818181818182,8,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
7.936217259989097,0.7798165137614679,0.7857142857142857,0.7812711291413117,0.8148148148148148,9,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
7.2748658216566735,0.7981651376146789,0.7924528301886793,0.8013559322033897,0.75,10,StandardScaler,,UMAP,XGBClassifier,LogisticRegressionCV,0
