log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.061887160896975,0.8318181818181818,0.8370044052863437,0.8331673720023235,0.8636363636363636,1,PolynomialFeatures,,LDA,MLPClassifier
7.37256546595578,0.7954545454545454,0.7715736040609137,0.7927010923535253,0.8351648351648352,2,PolynomialFeatures,,LDA,MLPClassifier
6.061887160896975,0.8318181818181818,0.821256038647343,0.8318181818181817,0.8762886597938144,3,PolynomialFeatures,,LDA,MLPClassifier
7.57081304063648,0.7899543378995434,0.780952380952381,0.7894275700934579,0.7961165048543689,4,PolynomialFeatures,,LDA,MLPClassifier
7.57081304063648,0.7899543378995434,0.7766990291262136,0.7896997497914929,0.8247422680412371,5,PolynomialFeatures,,LDA,MLPClassifier
