<function log_loss at 0x7fe65cd6fd90>,<function accuracy_score at 0x7fe65cd6e9e0>,<function f1_score at 0x7fe65cd6f1c0>,<function roc_auc_score at 0x7fe65cd8da20>,<function precision_score at 0x7fe65cd6f7f0>,CV,transform,features_selection,dim_red,model
17.153304926146113,0.5240963855421686,0.5212121212121211,0.5245461147421931,0.5375,1,SummaryTransformer,,False,FCNClassifier
17.58756581035235,0.5120481927710844,0.5263157894736842,0.5120920745920745,0.5421686746987951,2,SummaryTransformer,,False,FCNClassifier
16.936174484043,0.5301204819277109,0.5301204819277109,0.5301974448315913,0.5365853658536586,3,SummaryTransformer,,False,FCNClassifier
17.80469625245546,0.5060240963855421,0.577319587628866,0.5153499199767205,0.48695652173913045,4,SummaryTransformer,,False,FCNClassifier
18.890348462971044,0.4759036144578313,0.4662576687116564,0.4771802325581395,0.4935064935064935,5,SummaryTransformer,,False,FCNClassifier
