log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
6.225721949029325,0.8272727272727273,0.8347826086956522,0.8272546419098142,0.8421052631578947,1,QuantileTransformer,,PCA,LogisticRegression
6.881061101558728,0.8090909090909091,0.832,0.8034230641409106,0.7878787878787878,2,QuantileTransformer,,PCA,LogisticRegression
9.830087287941044,0.7272727272727273,0.6808510638297872,0.7204301075268815,0.6956521739130435,3,QuantileTransformer,,PCA,LogisticRegression
5.242713220235222,0.8545454545454545,0.864406779661017,0.8531167108753316,0.85,4,QuantileTransformer,,PCA,LogisticRegression
5.242713220235222,0.8545454545454545,0.8431372549019608,0.8568082970893275,0.8113207547169812,5,QuantileTransformer,,PCA,LogisticRegression
8.519408982882235,0.7636363636363637,0.7868852459016392,0.7607895617263298,0.7868852459016393,6,QuantileTransformer,,PCA,LogisticRegression
7.20873067782343,0.8,0.7962962962962963,0.805,0.7413793103448276,7,QuantileTransformer,,PCA,LogisticRegression
8.191739406617534,0.7727272727272727,0.7933884297520662,0.7695623342175065,0.7619047619047619,8,QuantileTransformer,,PCA,LogisticRegression
7.274865821656673,0.7981651376146789,0.8,0.8008789722785666,0.8461538461538461,9,QuantileTransformer,,PCA,LogisticRegression
7.274865821656673,0.7981651376146789,0.7962962962962963,0.8028813559322033,0.7413793103448276,10,QuantileTransformer,,PCA,LogisticRegression
