log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model
7.20873067782343,0.8,0.8070175438596492,0.8003978779840849,0.8214285714285714,1,PolynomialFeatures,,PCA,LogisticRegression
6.553391525294027,0.8181818181818182,0.8387096774193548,0.813226985709538,0.8,2,PolynomialFeatures,,PCA,LogisticRegression
9.174748135411638,0.7454545454545455,0.6956521739130435,0.736559139784946,0.7272727272727273,3,PolynomialFeatures,,PCA,LogisticRegression
5.898052372764625,0.8363636363636363,0.8448275862068967,0.8358753315649867,0.8448275862068966,4,PolynomialFeatures,,PCA,LogisticRegression
5.242713220235222,0.8545454545454545,0.8431372549019608,0.8568082970893275,0.8113207547169812,5,PolynomialFeatures,,PCA,LogisticRegression
8.191739406617534,0.7727272727272727,0.7863247863247863,0.7750083640013382,0.8214285714285714,6,PolynomialFeatures,,PCA,LogisticRegression
5.570382796499923,0.8454545454545455,0.8282828282828283,0.8433333333333333,0.8367346938775511,7,PolynomialFeatures,,PCA,LogisticRegression
8.519408982882236,0.7636363636363637,0.7758620689655173,0.7629310344827586,0.7758620689655172,8,PolynomialFeatures,,PCA,LogisticRegression
7.936217259989097,0.7798165137614679,0.7735849056603773,0.7848208248816768,0.8541666666666666,9,PolynomialFeatures,,PCA,LogisticRegression
8.928244417487734,0.7522935779816514,0.7476635514018691,0.7559322033898306,0.7017543859649122,10,PolynomialFeatures,,PCA,LogisticRegression
