iter	RMSE
693	0.4268124462
694	0.4267507327
695	0.4266784486
696	0.4266024805
697	0.4265349186
698	0.4264911111
699	0.426457854
700	0.4263930387
701	0.4263408149
702	0.4262959602
703	0.4262241047
704	0.4261531583
705	0.4260854325
706	0.4260321562
707	0.4259558727
708	0.4259111823
709	0.4258640779
710	0.4257999515
711	0.4257556753
712	0.4256915797
713	0.4256534229
714	0.4255989049
715	0.4255276398
716	0.4254585141
717	0.4253892001
718	0.4253137329
719	0.4252450343
720	0.4251823759
721	0.4251204057
722	0.4250543944
723	0.4249945999
724	0.4249487641
725	0.4248927818
726	0.4248346593
727	0.4247942362
728	0.4247209508
729	0.4246678889
730	0.4246254835
731	0.4245630624
732	0.4244910004
733	0.424431242
734	0.4243619114
735	0.4242921248
736	0.4242441103
737	0.424194848
738	0.4241168478
739	0.424063085
740	0.4239582375
741	0.4238905632
742	0.4238295768
743	0.4237713477
744	0.4236870047
745	0.4236513175
746	0.4235890477
747	0.4235291412
748	0.4234724031
749	0.4234044993
750	0.4233564491
751	0.4232779792
752	0.4232104674
753	0.4231393158
754	0.4230838797
755	0.4230356913
756	0.4229763744
757	0.4229291331
758	0.4228551224
759	0.4227970783
760	0.4227196297
761	0.4226514291
762	0.4225909195
763	0.4225297795
764	0.4224697205
765	0.4223960567
766	0.4223282431
767	0.4222618416
768	0.4222067182
769	0.422147833
770	0.4221004005
771	0.4220305712
772	0.421973143
773	0.4219236029
774	0.4218684876
775	0.4218204321
776	0.4217533671
777	0.4217068894
778	0.4216341507
779	0.4215696842
780	0.4214948612
781	0.4214338634
782	0.4213816242
783	0.4213398748
784	0.4212802075
785	0.4212240759
786	0.4211445303
787	0.4210901378
788	0.4210419442
789	0.4209915804
790	0.4209270272
791	0.420871052
792	0.4208109764
793	0.4207563941
794	0.4207062934
795	0.4206277537
796	0.4205865876
797	0.4205063102
798	0.4204285241
799	0.4203547569
800	0.4202927365
801	0.4202240637
802	0.4201661742
803	0.4201281928
804	0.4200765429
805	0.4200275579
806	0.4199720443
807	0.419924087
808	0.4198663286
809	0.4198084512
810	0.419729353
811	0.419675294
812	0.4196299689
813	0.4195661306
814	0.4194884716
815	0.4194428867
816	0.4194021386
817	0.4193551649
818	0.4192700182
819	0.4192032368
820	0.4191318317
821	0.419089692
822	0.4190430094
823	0.4189901096
824	0.4189388168
825	0.4188603208
826	0.4187922414
827	0.4187327338
828	0.4186739551
829	0.4186122925
830	0.4185612331
831	0.4184968085
832	0.4184249072
833	0.4183754243
834	0.4183153293
835	0.4182752671
836	0.4182197462
837	0.4181677737
838	0.4181188346
839	0.4180492495
840	0.4179964408
841	0.4179332811
842	0.4178757167
843	0.4178038538
844	0.4177691828
845	0.4177184913
846	0.417668891
847	0.4175916314
848	0.4175327813
849	0.4174886903
850	0.4174355523
851	0.4173829698
852	0.4173164823
853	0.4172757245
854	0.4172307092
855	0.4171634295
856	0.417113354
857	0.4170505377
858	0.4169839669
859	0.4169199838
860	0.4168910615
861	0.4168314151
862	0.4167771101
863	0.416711469
864	0.4166620938
865	0.4166224299
866	0.4165607637
867	0.4165010773
868	0.4164271349
869	0.4163691844
870	0.4163026219
871	0.4162399059
872	0.4161936202
873	0.4161533992
874	0.4160638499
875	0.4160190233
876	0.4159604869
877	0.4158987465
878	0.4158408388
879	0.4157822184
880	0.415711643
881	0.4156568735
882	0.4155930626
883	0.4155180712
884	0.4154530054
885	0.4153755848
886	0.4153217985
887	0.4152549401
888	0.4152007575
889	0.4151438813
890	0.4150896781
891	0.4150452843
892	0.4149911348
893	0.4149263452
894	0.4148645551
895	0.4147961088
896	0.414754381
897	0.4146973895
898	0.4146364286
899	0.4145690353
900	0.4145146407
901	0.4144699343
902	0.4144379278
903	0.4143883917
904	0.4143202149
905	0.4142583079
906	0.4141839394
907	0.4141366518
908	0.4140741494
909	0.4140070826
910	0.4139548669
911	0.4139226095
912	0.4138749653
913	0.413794568
914	0.413725338
915	0.4136534504
916	0.4135713124
917	0.4135316117
918	0.4134537884
919	0.4134097123
920	0.4133572906
921	0.4132987095
922	0.4132268251
923	0.4131794621
924	0.4131126321
925	0.4130711129
926	0.4130193445
927	0.412964555
928	0.4129195238
929	0.412852704
930	0.4127812136
931	0.4127202804
932	0.4126358006
933	0.4125707364
934	0.4125180405
935	0.4124588328
936	0.4123955449
937	0.412338361
938	0.4122683726
939	0.4122012584
940	0.4121396416
941	0.4120854487
942	0.4120450061
943	0.4119974429
944	0.4119534444
945	0.4118991339
946	0.4118545927
947	0.4118127224
948	0.4117556766
949	0.4117044026
950	0.411649632
951	0.4116008632
952	0.4115321525
953	0.4114908902
954	0.4114475238
955	0.4113842587
956	0.4113267793
957	0.4112564288
958	0.4111981724
959	0.4111334052
960	0.41107407
961	0.4110296493
962	0.4109878129
963	0.4109361818
964	0.4108659919
965	0.410796647
966	0.4107543566
967	0.4107115523
968	0.4106548652
969	0.4106083908
970	0.4105539203
971	0.4105101992
972	0.4104582802
973	0.4103880495
974	0.4103427894
975	0.4102867582
976	0.4102487905
977	0.4102079073
978	0.4101676614
979	0.4101075402
980	0.4100631192
981	0.4100337489
982	0.4099690169
983	0.4099134995
984	0.4098526629
985	0.4097932826
986	0.4097349998
987	0.4096953117
988	0.4096322955
989	0.4095900273
990	0.4095264898
991	0.4094801719
992	0.4094441261
993	0.4093980891
994	0.4093540768
995	0.409296286
996	0.4092487808
997	0.40918178
998	0.4091245205
999	0.4090634754
